season,stateoc,agecat,osh,rcu,pi
2,WV,4,1,796,38
2,WV,5,0,2516,596
2,WV,5,1,4118,306
2,WY,1,0,0,0
2,WY,1,1,5,2
2,WY,2,0,0,0
2,WY,2,1,1,0
2,WY,3,0,23,6
2,WY,3,1,60,5
2,WY,4,0,74,16
2,WY,4,1,154,6
2,WY,5,0,356,87
2,WY,5,1,806,80
3,AK,1,0,3,0
3,AK,1,1,3,2
3,AK,2,0,2,1
3,AK,2,1,0,0
3,AK,3,0,42,4
3,AK,3,1,85,1
3,AK,4,0,125,15
3,AK,4,1,210,10
3,AK,5,0,331,71
3,AK,5,1,553,34
3,AL,1,0,32,2
